date,official,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh
2025-05-23,True,2318.46633251852,2569.3363881481505,1200.0,28801.253445999995,11928.549649265,0.0,0,0.0,11928.549649265,19195.016462790125
2025-05-24,True,2569.3363881481505,2441.986809333334,1200.0,28045.090262,12197.885364138298,0.0,0,0.0,12197.885364138298,22090.10032533334
2025-05-25,True,2441.986809333334,1914.9942994444466,1200.0,60552.868740000005,36408.089537162,12.048766666666666,1,78.16034936666667,36486.24988652867,8996.763522798357
2025-05-26,True,1914.9942994444466,2088.0404325555583,1200.0,60053.213939999994,36269.39618973099,0.0,0,0.0,36269.39618973099,1718.9345864609074
2025-05-27,True,2088.0404325555583,1278.5405743333342,1200.0,58111.71513,34695.174621152,42.2154399999979,2,281.25559181331937,34976.43021296532,5792.710021275723
2025-05-28,True,1278.5405743333342,1647.9672223333378,1200.0,59240.598368,35622.749718482795,0.0,0,0.0,35622.749718482795,3080.2357189053546
2025-05-29,True,1647.9672223333378,1860.291559185189,1200.0,60252.810574,36536.04727600221,17.817433333333497,1,119.80442173333444,36655.85169773555,2090.1052295061872
2025-05-30,True,1860.291559185189,2669.252199111112,1200.0,29292.341290999997,12416.571896859099,0.0,0,0.0,12416.571896859099,18921.566229259268
2025-05-31,True,2669.252199111112,2415.1005214814786,1200.0,28676.9694541,11324.41212010695,0.0,0,0.0,11324.41212010695,17322.11779099712
2025-06-01,True,2415.1005214814786,1200.0,1200.0,60983.55677,40537.389604735,11589.632877566666,42,73747.73341299908,114285.12301773408,97.7956333333342
2025-06-02,True,1200.0,1200.0,1200.0,69433.4695102,45401.62397347766,4701.593893166664,30,29731.502083765226,75133.12605724289,1680.432939711938
2025-06-03,True,1200.0,1200.0,1200.0,69380.32726700002,45243.847441629885,3205.0743428999976,29,20727.073409328208,65970.9208509581,370.1114433333346
2025-06-04,True,1200.0,1288.355916,1200.0,74501.33398200001,49404.4783145847,221.89438873332543,11,950.4040332633003,50354.882347848004,635.6515257201642
2025-06-05,True,1288.355916,1566.9518294444456,1200.0,76887.019165,51885.5184262564,157.15760543333136,5,1089.9729280488864,52975.49135430528,1171.606143748977
2025-06-06,True,1566.9518294444456,1200.0,1200.0,32441.3977246,15597.862439627439,3709.701779566664,24,18939.405469457975,34537.267909085414,2918.981774897119
2025-06-07,True,1200.0,1524.1790792962968,1200.0,35611.520843000006,17502.659379896897,138.98329913333208,1,889.2151478550587,18391.874527751956,1640.9722276913549
2025-06-08,True,1524.1790792962968,2443.9229996666672,1200.0,83475.058556,56205.64772532701,0.0,0,0.0,56205.64772532701,14260.032379769556
2025-06-09,True,2443.9229996666672,1765.949463481483,1200.0,80704.00487,55398.92012534049,102.4224403333335,5,720.7662005176678,56119.68632585816,6742.551048670784
2025-06-10,True,1765.949463481483,1412.1817607037044,1200.0,80282.354081,54134.9871706646,38.749385000000075,4,268.7305774920005,54403.7177481566,4885.800224226338
2025-06-11,True,1412.1817607037044,1537.5890225555556,1200.0,79903.949602,53533.187766806,2657.2144774933286,10,17543.436581978858,71076.62434878486,2162.7907839506197
2025-06-12,True,1537.5890225555556,2234.1282837037047,1200.0,83840.599567,57263.49046714499,0.0,0,0.0,57263.49046714499,6310.153396543215
2025-06-13,True,2234.1282837037047,3535.104142555555,1200.0,39769.667004,20365.3253463336,0.0,0,0.0,20365.3253463336,7347.3505200082345
2025-06-14,True,3535.104142555555,2418.3680901111106,1200.0,36517.902031000005,18789.1975160025,0.0,0,0.0,18789.1975160025,8458.164280876548
2025-06-15,True,2418.3680901111106,2408.576672481483,1200.0,82243.34052999999,56241.2495822913,5.7631573333334245,2,39.0602249706673,56280.30980726196,8038.5064780370385
2025-06-16,True,2408.576672481483,2066.5628350740744,1200.0,82487.119076,56937.4162817154,20.386623333333432,2,137.64956655416736,57075.065848269565,6190.200819353919
2025-06-17,True,2066.5628350740744,1247.0000160000002,1200.0,81561.19674330001,55443.85872791618,653.1986785333314,4,4434.934956973723,59878.793684889904,4078.618461399178
2025-06-18,True,1247.0000160000002,2090.6963196666666,1200.0,82714.89356,56556.762055637,0.0,0,0.0,56556.762055637,7345.4658703251125
2025-06-19,True,2090.6963196666666,2128.9586091851875,1200.0,82135.45525,55627.4179681629,105.46205533333364,3,731.6727351510023,56359.09070331391,10142.597783744863
2025-06-20,True,2128.9586091851875,2276.5519724444453,1200.0,35969.620179000005,17949.6474416903,0.0,0,0.0,17949.6474416903,10433.467002004121
2025-06-21,True,2276.5519724444453,2607.509558185184,1200.0,35485.508292000006,17485.6614409852,0.0,0,0.0,17485.6614409852,13109.848064633747
