slot,start_min,end_min,price_yuan_per_kwh,load_kw,pv_kw,net_kw,purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtail_kwh,soc_end_kwh,soc0_kwh,date,policy
113,1120,1130,1.2522,4286.5369,0,4286.5369,756.08923,0,0,0,41.66641333,10800,2118.066053,2025-03-20,D_pv7d_adaptive
114,1130,1140,1.2881,4470.2464,0.4004,4469.846,400.33704,0,344.6372933,0,0,10417.06967,2118.066053,2025-03-20,D_pv7d_adaptive
115,1140,1150,1.3466,4579.24,0,4579.24,0,0,763.2066667,0,0,9569.062267,2118.066053,2025-03-20,D_pv7d_adaptive
116,1150,1160,1.3523,4480.3082,0,4480.3082,0,0,746.7180333,0,0,8739.375563,2118.066053,2025-03-20,D_pv7d_adaptive
117,1160,1170,1.3445,4285.5618,0.0288,4285.533,0,0,714.2555,0,0,7945.758341,2118.066053,2025-03-20,D_pv7d_adaptive
118,1170,1180,1.3483,4196.78,0,4196.78,0,0,699.4633333,0,0,7168.576859,2118.066053,2025-03-20,D_pv7d_adaptive
119,1180,1190,1.349,4330.8684,0,4330.8684,0,0,721.8114,0,0,6366.564193,2118.066053,2025-03-20,D_pv7d_adaptive
120,1190,1200,1.3473,4370.9481,0.0021,4370.946,0,0,728.491,0,0,5557.129748,2118.066053,2025-03-20,D_pv7d_adaptive
121,1200,1210,1.3482,4358.21,0,4358.21,0,0,726.3683333,0,0,4750.053822,2118.066053,2025-03-20,D_pv7d_adaptive
122,1210,1220,1.3513,4586.0191,0,4586.0191,0,0,764.3365167,0,0,3900.791026,2118.066053,2025-03-20,D_pv7d_adaptive
123,1220,1230,1.34,4523.6629,0,4523.6629,0,0,753.9438167,0,0,3063.075674,2118.066053,2025-03-20,D_pv7d_adaptive
124,1230,1240,1.3489,4215.37,0,4215.37,0,0,702.5616667,0,0,2282.4516,2118.066053,2025-03-20,D_pv7d_adaptive
125,1240,1250,1.3952,4256.2469,0,4256.2469,0,0,709.3744833,0,0,1494.25773,2118.066053,2025-03-20,D_pv7d_adaptive
126,1250,1260,1.2226,4319.0159,0,4319.0159,749.93586,30.09987667,0,0,0,1521.347619,2118.066053,2025-03-20,D_pv7d_adaptive
127,1260,1270,0.9332,4257.25,0,4257.25,760.72709,51.18542333,0,0,0,1567.4145,2118.066053,2025-03-20,D_pv7d_adaptive
128,1270,1280,0.9068,4290.2681,0,4290.2681,758.99635,43.95166667,0,0,0,1606.971,2118.066053,2025-03-20,D_pv7d_adaptive
129,1280,1290,0.9371,4418.7036,0,4418.7036,749.6496,13.199,0,0,0,1618.8501,2118.066053,2025-03-20,D_pv7d_adaptive
130,1290,1300,0.9371,4553.6,0,4553.6,761.03958,2.106246667,0,0,0,1620.745722,2118.066053,2025-03-20,D_pv7d_adaptive
131,1300,1310,0.9871,4526.2528,0,4526.2528,775.12861,20.75314333,0,0,0,1639.423551,2118.066053,2025-03-20,D_pv7d_adaptive
132,1310,1320,0.7764,4001.6252,0,4001.6252,706.01672,39.07918667,0,0,0,1674.594819,2118.066053,2025-03-20,D_pv7d_adaptive
133,1320,1330,0.4209,3318.94,0,3318.94,582.81335,29.65668333,0,0,0,1701.285834,2118.066053,2025-03-20,D_pv7d_adaptive
134,1330,1340,0.3859,3233.4088,0,3233.4088,569.18758,30.28611333,0,0,0,1728.543336,2118.066053,2025-03-20,D_pv7d_adaptive
135,1340,1350,0.4368,3319.971,0,3319.971,580.57056,27.24206,0,0,0,1753.06119,2118.066053,2025-03-20,D_pv7d_adaptive
136,1350,1360,0.4198,3255.84,0,3255.84,583.34823,40.70823,0,0,0,1789.698597,2118.066053,2025-03-20,D_pv7d_adaptive
137,1360,1370,0.4186,3144.1326,0,3144.1326,575.90352,51.88142,0,0,0,1836.391875,2118.066053,2025-03-20,D_pv7d_adaptive
138,1370,1380,0.4241,3161.8174,0,3161.8174,572.48446,45.51489333,0,0,0,1877.355279,2118.066053,2025-03-20,D_pv7d_adaptive
139,1380,1390,0.4237,3296.4,0,3296.4,582.37505,32.97505,0,0,0,1907.032824,2118.066053,2025-03-20,D_pv7d_adaptive
140,1390,1400,0.4248,3356.4081,0,3356.4081,579.76566,20.36431,0,0,0,1925.360703,2118.066053,2025-03-20,D_pv7d_adaptive
141,1400,1410,0.424,3261.7676,0,3261.7676,585.78738,42.15944667,0,0,0,1963.304205,2118.066053,2025-03-20,D_pv7d_adaptive
142,1410,1420,0.422,3267.73,0,3267.73,581.4039,36.78223333,0,0,0,1996.408215,2118.066053,2025-03-20,D_pv7d_adaptive
143,1420,1430,0.424,3604.076,0,3604.076,589.73127,0,10.94806333,0,0,1984.2437,2118.066053,2025-03-20,D_pv7d_adaptive
144,1430,1440,0.4271,3245.8691,0,3245.8691,564.34941,23.37122667,0,0,0,2005.277804,2118.066053,2025-03-20,D_pv7d_adaptive
