date,official,q_load,q_pv,q_source,feature_value,feature_percentile,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh,q_min,k,label
2025-03-17,True,0.9,0.1,rule,337.2608723900994,0.7727272727272727,2576.211158481485,2553.8553367777818,1200.0,77625.4921222,48605.7903777505,0.0,0,0.0,48605.7903777505,16554.4464670535,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-18,True,0.9,0.1,rule,356.0774663157589,0.8888888888888888,2553.8553367777818,1876.6839101851879,1200.0,72384.4192613,45464.573661451854,0.0,0,0.0,45464.573661451854,8117.496449736225,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-19,True,0.9,0.1,rule,348.02159387529974,0.8260869565217391,1876.6839101851879,2680.2227975185183,1200.0,75759.543283,47222.3557003195,0.0,0,0.0,47222.3557003195,11646.008988596717,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-20,True,0.9,0.1,rule,356.9542544475519,0.8936170212765957,2680.2227975185183,2465.624915666669,1200.0,75519.9810409,48443.997677461906,0.0,0,0.0,48443.997677461906,9660.397462156376,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-21,True,0.85,0.15,rule,324.2421236212965,0.6875,2465.624915666669,2342.6510030370373,1200.0,32486.243365999995,13531.9118572406,0.0,0,0.0,13531.9118572406,17726.454135794243,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-22,True,0.85,0.15,rule,328.4821579310494,0.6938775510204082,2342.6510030370373,2704.2664161851844,1200.0,32281.760231,13457.273908953299,0.0,0,0.0,13457.273908953299,13426.514683592593,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-23,True,0.85,0.15,rule,313.7686863340265,0.66,2704.2664161851844,1920.5432655185182,1200.0,70875.212975,43828.299769043006,0.0,0,0.0,43828.299769043006,9017.159009876545,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-24,True,0.85,0.15,rule,318.88313335652913,0.6666666666666666,1920.5432655185182,2266.3703857777814,1200.0,71136.1707911,44103.272725544535,0.0,0,0.0,44103.272725544535,8971.233417489717,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-25,True,0.85,0.15,rule,287.4059053723169,0.46153846153846156,2266.3703857777814,1409.3479602592586,1200.0,66648.24893,41100.947830364,0.0,0,0.0,41100.947830364,2611.4847025102954,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-26,True,0.85,0.15,rule,306.1091187779293,0.5471698113207547,1409.3479602592586,2062.8126060740774,1200.0,71343.595836,43387.30364108359,0.0,0,0.0,43387.30364108359,11318.882419423871,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-27,True,0.85,0.15,rule,312.0022402364577,0.6481481481481481,2062.8126060740774,2192.7400662963,1200.0,70485.69726779999,43268.95950979457,0.0,0,0.0,43268.95950979457,7747.699325679022,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-28,True,0.85,0.15,rule,316.75866521279465,0.6727272727272727,2192.7400662963,2585.620922370371,1200.0,31643.454462,12967.125916416098,0.0,0,0.0,12967.125916416098,17640.567205991774,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-29,True,0.85,0.15,rule,298.95430560430884,0.48214285714285715,2585.620922370371,2413.4982500000046,1200.0,30929.404564,12810.7088657163,0.0,0,0.0,12810.7088657163,20867.40384585185,0.8,0.1,resid_vol7_qmin0.80_k0.10
