date,total_cost,plan_cost,emergency_cost,emergency_kwh
2025-06-16,56602.458763503426,50721.4061415028,841.5357391258316,128.773921333333
2025-06-17,60122.93015369238,50786.648177767696,2963.756970044231,605.5377488666659
2025-06-18,55369.29829087849,50909.8243012254,77.7728983648338,11.502314333333402
2025-06-19,54685.68525720742,47293.32112445087,1189.9528238151681,171.14545366666687
2025-06-20,16989.74721544691,16832.8275381958,296.4641145766111,132.86221656666507
2025-06-21,16875.265698678384,16320.338087895901,478.36300009693247,249.35774019999963
2025-06-22,51552.184847918405,46243.90917012349,323.28575480921813,47.47599670000022
2025-06-23,51237.898940321895,47126.87396256582,1655.561843880551,402.2249071666665
2025-06-24,59143.26823447869,55776.7437297773,669.8190959352354,110.38084586666692
2025-06-25,53969.52368266549,46893.4837267825,295.1655920263347,42.52193866666687
2025-06-26,51238.67088409172,45733.47582257391,1414.7009952812334,268.5482422666666
2025-06-27,18210.130108005207,16318.967746907601,2440.790582381405,459.44540406666476
2025-06-28,16708.279629245382,15579.8823921142,851.5757793609787,187.73071136666584
2025-06-29,54371.590869706335,45613.582245522004,931.558854621626,304.40948929999456
2025-06-30,51181.90359642385,49149.934567051896,936.9961415740006,133.1581510000001
2025-07-01,79237.0040111436,44876.5549514897,6913.351587342948,1909.2718501999946
2025-07-02,63497.8326770324,52477.3094516302,2933.949569829997,825.877609999999
2025-07-03,69251.79956359646,63314.380847930006,3369.885336734246,494.68607296666386
2025-07-04,32995.46992154715,19763.8972294174,8552.296376144002,3007.6272031666667
2025-07-05,27956.05933928353,21474.0053386913,3455.4321927327787,1038.456632699996
2025-07-06,72602.26495702715,56838.24021513359,2683.999464415162,852.4037175999977
2025-07-07,61387.63849014632,59970.8874320299,1705.9587753002188,356.38542703333354
2025-07-08,63847.69596463664,62465.606407930594,183.70795760134928,30.572438233332832
2025-07-09,61369.34318835732,60359.2483014162,1420.7585410461695,223.55117233333323
2025-07-10,60785.611065260426,56424.734787727,2220.9041638523236,420.62129796666466
2025-07-11,37162.60700218349,27286.528658054303,11559.605020118834,1816.0922695
2025-07-12,27022.911660477213,23377.421259207804,2584.0096047184074,474.68117983332917
2025-07-13,59355.76804139461,59572.0229429952,108.03654132500071,12.457370000000083
2025-07-14,59561.520695638486,55503.230974382,1835.5058215224728,217.8011909666653
2025-07-15,58879.7324648605,58364.36092626701,408.4535961139936,70.2158931666655
2025-07-16,58521.21573169677,56452.347135166,829.4097003477808,100.21951596666595
2025-07-17,63254.49578286635,54659.204826930996,3801.196140831846,757.8773566666653
2025-07-18,25402.990811277115,24078.377117000004,2053.7714983837614,462.7209835333317
2025-07-19,26785.959696104168,24039.796826079997,2955.458604513872,484.4482040333341
2025-07-20,58964.3187563908,57487.0696238456,125.40147259000133,14.737510000000157
2025-07-21,61066.69959847884,59770.80598248899,621.2293044983373,72.5323733333338
2025-07-22,63396.24647175045,54467.478505452564,2108.109205582276,390.79977076666376
2025-07-23,62847.1756878098,62434.32717749662,2186.3221360204893,288.5827540666652
2025-07-24,61682.93039633287,63425.006132389106,175.2328513616687,20.989863333333574
2025-07-25,26806.494786772015,21983.175765616677,4492.766271471675,759.2678400000013
2025-07-26,24445.504825681153,22207.34937749457,1552.1216076698604,252.53091939999553
2025-07-27,60442.35489267378,56161.9240698789,316.44738333723313,84.00357273333272
2025-07-28,63021.2864706609,58579.9956452452,272.02719088250467,55.02061230000131
2025-07-29,65727.32992801495,55618.507390406594,2822.9201944104543,350.0692821333317
2025-07-30,64470.50369899249,51585.35428731268,7.716455913333457,0.9206533333333482
2025-07-31,64073.76724136372,54001.39297588699,3490.71895196362,458.01292313333545
2025-08-01,24739.742849896153,22156.2520547006,2214.0729437725026,645.4452266666636
2025-08-02,24778.163872665882,22104.287067800396,3062.821433279988,486.26668999999816
2025-08-03,54965.44082044363,47425.8808538158,5525.741843328136,862.4395992333283
2025-08-04,53815.4846941937,51652.829073016,6.075957030000311,0.7530466666667053
