date,q_load,q_pv,q_source,feature,feature_value,feature_percentile,soc0_actual,soc24_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,n_simultaneous_plan,max_unserved_kwh
2025-06-12,0.85,0.15,rule,resid_vol7,481.60196194947747,0.9312977099236641,1646.847546444445,2434.5008510000025,85718.91526000001,53976.535637882,0.0,0.0,53976.535637882,8358.194346345681,0,0.0
2025-06-13,0.85,0.15,rule,resid_vol7,475.8258836374112,0.9166666666666666,2434.5008510000025,3936.366122629631,41325.133734999996,24665.813678073202,0.0,0.0,24665.813678073202,9050.691876646097,0,0.0
2025-06-14,0.85,0.15,rule,resid_vol7,431.59952002871375,0.9022556390977443,3936.366122629631,2642.1974338518517,37031.203150600006,22171.6927857373,0.0,0.0,22171.6927857373,10080.747086196712,0,0.0
2025-06-15,0.8,0.2,rule,resid_vol7,404.09638029100523,0.8208955223880597,2642.1974338518517,2408.9850965185215,82241.772452,51945.1847442538,5.016469333333362,33.83357741866686,51979.01832167246,8098.36762385186,0,0.0
2025-06-16,0.8,0.2,rule,resid_vol7,363.6012561761931,0.674074074074074,2408.9850965185215,2060.0891578148157,82560.03115499999,52079.826564308794,24.762771000000043,167.13007879666696,52246.95664310546,6224.652596925929,0,0.0
2025-06-17,0.8,0.2,rule,resid_vol7,357.24422310363286,0.6176470588235294,2060.0891578148157,1247.0000160000002,81278.911078,50854.6405444595,543.6869271999985,3463.70625375056,54318.34679821006,3983.817016283953,0,0.0
2025-06-18,0.8,0.2,rule,resid_vol7,373.8202987105449,0.7591240875912408,1247.0000160000002,2042.5456754814827,82743.163516,51662.637380846805,0.0,0.0,51662.637380846805,7352.736398802477,0,0.0
2025-06-19,0.7,0.3,rule,resid_vol7,329.6149144725437,0.4057971014492754,2042.5456754814827,1881.4841651851868,79374.24204099999,49539.55670682999,133.71773233333352,900.6264179711679,50440.18312480116,7395.756806909475,0,0.0
2025-06-20,0.8,0.2,rule,resid_vol7,352.6723149898553,0.5755395683453237,1881.4841651851868,2259.230233814816,35573.478254,20912.580543793098,0.0,0.0,20912.580543793098,10447.91262566667,0,0.0
2025-06-21,0.7,0.3,rule,resid_vol7,331.8025309100072,0.40714285714285714,2259.230233814816,2351.467103407406,33950.751655,19582.5547147004,0.0,0.0,19582.5547147004,12174.770447139917,0,0.0
2025-06-22,0.8,0.2,rule,resid_vol7,373.57196495819204,0.7588652482269503,2351.467103407406,2134.2478098888896,80508.988458,50646.910977871696,0.0,0.0,50646.910977871696,9766.366531090538,0,0.0
2025-06-23,0.8,0.2,rule,resid_vol7,380.94822315182324,0.7887323943661971,2134.2478098888896,1804.0128088518538,79740.0967096,49794.2674397541,0.0,0.0,49794.2674397541,9195.324953353094,0,0.0
2025-06-24,0.8,0.2,rule,resid_vol7,384.4878400650436,0.7972027972027972,1804.0128088518538,1509.664556518519,77663.202761,48056.3703564007,3104.660867679996,16973.3866776029,65029.7570340036,594.9699511111171,0,0.0
2025-06-25,0.85,0.15,rule,resid_vol7,431.7028061111982,0.9097222222222222,1509.664556518519,2175.5258483703715,80585.6868919,50181.924657587806,0.0,0.0,50181.924657587806,5331.527504020584,0,0.0
2025-06-26,0.85,0.15,rule,resid_vol7,450.2790949036238,0.9103448275862069,2175.5258483703715,1938.082472555557,81251.891349,51028.3426179002,59.596925000000056,402.06883414283374,51430.41145204303,10113.741994444452,0,0.0
2025-06-27,0.85,0.15,rule,resid_vol7,442.2265934856479,0.9041095890410958,1938.082472555557,2602.6585814444447,34854.151066,20124.168137696,0.0,0.0,20124.168137696,11990.602685876544,0,0.0
2025-06-28,0.85,0.15,rule,resid_vol7,447.94752238053906,0.9047619047619048,2602.6585814444447,2465.3847636296327,33980.321276,19578.873844593298,0.0,0.0,19578.873844593298,10252.004986370373,0,0.0
2025-06-29,0.8,0.2,rule,resid_vol7,417.05092802043305,0.8513513513513513,2465.3847636296327,2422.493964888892,79472.169704,49855.0036112233,0.0,0.0,49855.0036112233,6559.667739633753,0,0.0
2025-06-30,0.8,0.2,rule,resid_vol7,416.7358390345039,0.8456375838926175,2422.493964888892,2026.474902407409,79511.753139,49878.0081261234,28.091370666666762,189.27671780850065,50067.2848439319,6444.522652983542,0,0.0
2025-07-01,0.8,0.2,rule,resid_vol7,414.1748074883834,0.82,2026.474902407409,1200.0,78492.302954,48703.772294916096,5032.57752013333,25784.021441262048,74487.79373617814,1451.011423596708,0,0.0
2025-07-02,0.8,0.2,rule,resid_vol7,396.7704690188564,0.7682119205298014,1200.0,1613.053907370372,89116.857735,56198.4916062014,174.8690999999999,1179.4431069516659,57377.93471315307,12486.78695331276,0,0.0
2025-07-03,0.8,0.2,rule,resid_vol7,415.53154604684175,0.8355263157894737,1613.053907370372,1974.9307915185195,93244.686214,59462.237583676004,9.36609999999996,65.33791359999972,59527.575497276004,9128.674256839506,0,0.0
2025-07-04,0.8,0.2,rule,resid_vol7,413.2936595961428,0.8104575163398693,1974.9307915185195,1200.0,37639.671077,22191.5123432705,3147.402972599996,13564.623810359913,35756.13615363042,10158.486765456788,0,0.0
2025-07-05,0.85,0.15,rule,resid_vol7,444.7519304614437,0.9025974025974026,1200.0,1286.4260706666676,43640.112948,25615.060051538,121.23271333333037,845.7194082133126,26460.779459751313,12374.68002088066,0,0.0
2025-07-06,0.85,0.15,rule,resid_vol7,457.9866229731296,0.9225806451612903,1286.4260706666676,1705.7321673703716,90544.649224,57694.9616728856,49.51803523333297,345.43781378773076,58040.39948667333,6352.422971325108,0,0.0
2025-07-07,0.85,0.15,rule,resid_vol7,461.9911720612181,0.9230769230769231,1705.7321673703716,2371.6979560000013,93265.954535,59609.725759023,0.0,0.0,59609.725759023,15917.373583106997,0,0.0
2025-07-08,0.85,0.15,rule,resid_vol7,478.73762095779017,0.9299363057324841,2371.6979560000013,2877.071168259259,90193.3759999,57789.7672637248,0.0,0.0,57789.7672637248,10416.69795014691,0,0.0
2025-07-09,0.85,0.15,rule,resid_vol7,451.1867446933466,0.8987341772151899,2877.071168259259,2459.172731666667,87654.477539,56116.0855278985,7.875563333333275,53.09311021166628,56169.17863811016,10508.079579534984,0,0.0
2025-07-10,0.8,0.2,rule,resid_vol7,429.2721268697576,0.8553459119496856,2459.172731666667,1761.7581333703738,85716.355858,54497.0868670664,52.8045033333334,356.18715865833383,54853.274025724735,9751.761791580244,0,0.0
2025-07-11,0.8,0.2,rule,resid_vol7,427.22599524491983,0.85,1761.7581333703738,2438.2013051111135,49278.9401875,28849.21745594805,0.0,0.0,28849.21745594805,13474.094048816874,0,0.0
2025-07-12,0.8,0.2,rule,resid_vol7,424.9047630357402,0.84472049689441,2438.2013051111135,1773.1660477777793,43699.447570000004,26379.282202620303,0.0,0.0,26379.282202620303,10908.059764399179,0,0.0
2025-07-13,0.8,0.2,rule,resid_vol7,408.6335704384973,0.7592592592592593,1773.1660477777793,2323.2355632222234,86508.9308155,54970.38496764726,33.013400000000274,222.04305924500187,55192.42802689226,13201.060555088483,0,0.0
2025-07-14,0.8,0.2,rule,resid_vol7,413.0747821078505,0.7668711656441718,2323.2355632222234,2135.250361962965,84799.82271000001,53880.241309583,17.389950000000226,117.12224359333486,53997.363553176336,9809.797488847746,0,0.0
2025-07-15,0.8,0.2,rule,resid_vol7,400.51943287676795,0.7195121951219512,2135.250361962965,2511.43312925926,83936.737515,53246.707404581,0.0,0.0,53246.707404581,7272.5432718107,0,0.0
2025-07-16,0.8,0.2,rule,resid_vol7,410.78177396603274,0.7575757575757576,2511.43312925926,1800.4537434444471,82291.74878999998,52056.694249059,40.81747666666661,275.7196721599996,52332.413921219,7322.837383415648,0,0.0
2025-07-17,0.8,0.2,rule,resid_vol7,419.256160356492,0.8253012048192772,1800.4537434444471,1756.2767112962983,83825.805937,52823.6874902224,19.686836666666977,136.81403293666878,52960.501523159066,7015.12137205762,0,0.0
2025-07-18,0.8,0.2,rule,resid_vol7,425.1068514326306,0.8502994011976048,1756.2767112962983,2017.889156703703,43936.230494,26286.920622564,0.0,0.0,26286.920622564,9975.449964699592,0,0.0
