label,feature,q_min,k,tune_total_cost,tune_plan_cost,tune_emergency_cost,tune_emergency_kwh,tune_n_days,tune_mean_q,inner_total_cost,inner_plan_cost,inner_emergency_cost,inner_emergency_kwh,inner_n_days,inner_mean_q,select_total_cost,select_plan_cost,select_emergency_cost,select_emergency_kwh,select_n_days,select_mean_q,n_validation_errors
resid_vol7_qmin0.80_k0.20,resid_vol7,0.8,0.2,5872394.711786621,5774189.350827814,98205.36095880764,16484.942201743313,150,0.8810000000000004,3452283.94866397,3448442.0548352124,3841.8938287577894,763.8401353666616,89,0.8679775280898879,2420110.763122651,2325747.2959926017,94363.46713004986,15721.102066376652,61,0.9,0
em7_qmin0.80_k0.30,em7,0.8,0.3,5833043.121916792,5728694.350161364,104348.7717554283,17694.35512540998,150,0.8680000000000003,3412932.358794141,3402947.054168763,9985.30462537845,1973.2530590333295,89,0.8460674157303372,2420110.763122651,2325747.2959926017,94363.46713004986,15721.102066376652,61,0.9,0
fixed_q90,,0.9,0.0,5951911.210890615,5855293.765596589,96617.4452940264,16164.482834243314,150,0.9000000000000004,3531800.447767964,3529546.4696039874,2253.978163976548,443.38076786666386,89,0.9000000000000002,2420110.763122651,2325747.2959926017,94363.46713004986,15721.102066376652,61,0.9,0
resid_vol7_qmin0.80_k0.30,resid_vol7,0.8,0.3,5880070.539145961,5782092.294170572,97978.24497538904,16424.385854276647,150,0.8833333333333337,3459959.7760233106,3456344.998177971,3614.7778453391925,703.2837878999965,89,0.8719101123595508,2420110.763122651,2325747.2959926017,94363.46713004986,15721.102066376652,61,0.9,0
resid_vol7_qmin0.60_k0.10,resid_vol7,0.6,0.1,5828845.500874257,5306340.552056726,522504.94881753076,84776.75445179651,150,0.7026666666666669,3391246.063135338,3214658.2200941476,176587.8430411902,28170.716805803262,89,0.706741573033708,2437599.437738919,2091682.3319625782,345917.10577634064,56606.037645993245,61,0.69672131147541,0
fixed_q70,,0.7,0.0,5803581.836169461,5282015.484198475,521566.3519709852,84442.77187519318,150,0.7000000000000002,3364093.349671835,3188299.7383576347,175793.61131420106,27858.145824199924,89,0.7000000000000002,2439488.4864976257,2093715.745840841,345772.7406567841,56584.62605099325,61,0.7000000000000003,0
em7_qmin0.65_k0.10,em7,0.65,0.1,5837869.338655945,5334193.809702646,503675.528953298,81561.2928241932,150,0.7186666666666669,3398380.8521583183,3240478.063861804,157902.78829651393,24976.666773199933,89,0.7314606741573034,2439488.4864976257,2093715.745840841,345772.7406567841,56584.62605099325,61,0.7000000000000003,0
resid_vol7_qmin0.65_k0.10,resid_vol7,0.65,0.1,5828437.06808918,5323474.117331021,504962.95075815823,81810.5102399932,150,0.7140000000000002,3388948.5815915545,3229758.3714901805,159190.21010137413,25225.88418899993,89,0.7235955056179776,2439488.4864976257,2093715.745840841,345772.7406567841,56584.62605099325,61,0.7000000000000003,0
peak_ratio_qmin0.65_k0.10,peak_ratio,0.65,0.1,5828437.06808918,5323474.117331021,504962.95075815823,81810.5102399932,150,0.7140000000000002,3388948.5815915545,3229758.3714901805,159190.21010137413,25225.88418899993,89,0.7235955056179776,2439488.4864976257,2093715.745840841,345772.7406567841,56584.62605099325,61,0.7000000000000003,0
peak_ratio_qmin0.60_k0.20,peak_ratio,0.6,0.2,5827350.179730216,5325819.201508199,501530.97822201817,81549.0187275265,150,0.7013333333333336,3384650.2324358923,3232745.9119268716,151904.320509021,24237.3407180666,89,0.7089887640449439,2442699.9472943237,2093073.289581326,349626.6577129973,57311.67800945991,61,0.6901639344262298,0
em7_qmin0.60_k0.10,em7,0.6,0.1,5861293.446351934,5314074.810873908,547218.6354780253,88336.84848813649,150,0.7053333333333335,3411347.456040103,3233197.5187425073,178149.93729759552,28109.29253306659,89,0.7224719101123597,2449945.9903118294,2080877.2921313995,369068.6981804298,60227.5559550699,61,0.6803278688524592,0
peak_ratio_qmin0.60_k0.10,peak_ratio,0.6,0.1,5930407.902203866,5238662.836058879,691745.0661449872,112237.68534104653,150,0.6513333333333334,3452035.84123587,3178415.381907192,273620.45932867844,43357.928288083276,89,0.6629213483146067,2478372.0609679963,2060247.4541516874,418124.60681630886,68879.75705296324,61,0.6344262295081969,0
fixed_q60,,0.6,0.0,5992178.068397244,5117019.202689579,875158.8657076659,141477.08063397315,150,0.6,3449422.216832541,3088315.080683641,361107.1361489002,57623.59438183657,89,0.5999999999999999,2542755.8515647035,2028704.1220059374,514051.72955876583,83853.4862521366,61,0.6000000000000001,0
