date,official,soc0_actual,soc24_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh
2025-05-17,True,2492.5209132962977,2341.5611252962976,29373.781027999998,16069.869860748398,0.0,0.0,16069.869860748398,17051.003959209876
2025-05-18,True,2341.5611252962976,2466.02628903704,66544.0255938,40536.407348633205,5.236666666666679,35.318698333333415,40571.72604696654,9339.031521604942
2025-05-19,True,2466.02628903704,2140.6236660740747,66028.7139301,40020.674652352885,58.46321323333348,394.3051416522176,40414.97979400511,15696.237733909475
2025-05-20,True,2140.6236660740747,1668.5580128888903,63490.900681,38423.3884934449,0.0,0.0,38423.3884934449,6092.386116246917
2025-05-21,True,1668.5580128888903,1925.5895485925937,65175.9085704,39409.31269248156,0.0,0.0,39409.31269248156,10410.329666872434
2025-05-22,True,1925.5895485925937,2667.1920012481505,65608.11111948,39820.39108347804,2.4594466100001,16.587737661145674,39836.978821139186,10576.439642119345
2025-05-23,True,2667.1920012481505,3069.4779959629664,29054.157036999997,15979.485595718701,0.0,0.0,15979.485595718701,20081.772782460906
2025-05-24,True,3069.4779959629664,2941.966374407407,28519.794223999997,15872.7349651598,0.0,0.0,15872.7349651598,23004.126867086423
2025-05-25,True,2941.966374407407,2310.4302126666676,64132.199202,39064.125287307805,0.0,0.0,39064.125287307805,13175.689731810706
2025-05-26,True,2310.4302126666676,2513.5784798888913,63994.032716,39110.001320773,0.0,0.0,39110.001320773,5833.515648065849
2025-05-27,True,2513.5784798888913,1652.2872206296317,61624.62999,37466.98798662,0.0,0.0,37466.98798662,9958.646460946511
2025-05-28,True,1652.2872206296317,2034.9948522592626,63387.97385,38205.735349009,0.0,0.0,38205.735349009,7298.425520946509
2025-05-29,True,2034.9948522592626,2286.5471674444466,64443.5393281,39022.685393764084,17.817433333333497,119.77769558333443,39142.46308934742,6337.927842345689
2025-05-30,True,2286.5471674444466,3239.1798074814815,29649.845208,16296.5492508764,0.0,0.0,16296.5492508764,19897.214130115233
2025-05-31,True,3239.1798074814815,3000.563759370371,28289.17791,15596.4694082374,0.0,0.0,15596.4694082374,18258.01976141564
2025-06-01,True,3000.563759370371,1200.0,65373.2392607,39828.52385165291,7247.818589599996,43830.40687704532,83658.93072869824,45.15274666666687
2025-06-02,True,1200.0,1213.1814432222225,74303.6061512,45481.23784152704,2425.992481333332,15596.32593341609,61077.56377494313,4089.98071226338
2025-06-03,True,1213.1814432222225,1269.4025781111116,74085.962909,45155.46484187931,750.0366676666639,4730.821080810315,49886.285922689625,2475.8956458847815
2025-06-04,True,1269.4025781111116,1993.223952592595,78914.974601,48892.7919256561,1.0053473333333613,7.013302997333529,48899.80522865344,4711.3083966337545
2025-06-05,True,1993.223952592595,2162.5152700370395,80884.508177,50616.628640464805,30.11623700000007,203.37251260200048,50820.001153066805,5526.037785596713
2025-06-06,True,2162.5152700370395,1200.0,33416.5425718,18719.66658104484,2208.016384833333,14021.99281571142,32741.65939675626,3134.9572281893065
2025-06-07,True,1200.0,1976.98747077778,37405.926658,21458.9433117771,0.0,0.0,21458.9433117771,3153.2855180534953
2025-06-08,True,1976.98747077778,2861.48717077778,88039.73221,55913.866466621,0.0,0.0,55913.866466621,18992.64655032922
2025-06-09,True,2861.48717077778,2337.6958289259283,85310.339994,53960.5227737196,37.04236766666668,249.83224872783342,54210.35502244743,11382.563561810708
2025-06-10,True,2337.6958289259283,1852.1594161851888,84549.947475,53161.1140100597,0.0,0.0,53161.1140100597,9656.344228518521
2025-06-11,True,1852.1594161851888,2178.0673225185196,84482.630418,52722.632819818304,22.912761966665883,132.34831075001316,52854.98113056832,3599.987489395067
2025-06-12,True,2178.0673225185196,2674.571434740743,87955.84177200001,55769.8632727769,0.0,0.0,55769.8632727769,11024.195105884774
2025-06-13,True,2674.571434740743,4166.398823777778,43826.312034,26068.8528731636,0.0,0.0,26068.8528731636,11591.674008650212
2025-06-14,True,4166.398823777778,2927.8464693703722,39569.278221,23577.5552887773,0.0,0.0,23577.5552887773,12604.732094909465
2025-06-15,True,2927.8464693703722,2817.6730670740753,87018.393909,55456.5736738495,0.0,0.0,55456.5736738495,12877.126922716052
2025-06-16,True,2817.6730670740753,2453.2434384074086,87128.088368,55512.457525072095,0.3396510000000035,2.2948519815000235,55514.7523770536,10968.88350847737
2025-06-17,True,2453.2434384074086,1739.76927825926,85889.903942,54285.259403550896,52.277660000000196,354.960604679668,54640.220008230564,8138.458602962971
2025-06-18,True,1739.76927825926,2457.138478222226,87239.16484499999,55040.31458989141,0.0,0.0,55040.31458989141,12115.770093292193
2025-06-19,True,2457.138478222226,2505.969833370371,86893.948131,55084.341647210196,74.83871433333354,503.7535457541681,55588.09519296436,14970.897641399195
2025-06-20,True,2505.969833370371,2760.285301555559,39411.34779299999,23087.2906879758,0.0,0.0,23087.2906879758,14493.015386004117
2025-06-21,True,2760.285301555559,3134.8614104814815,38456.780541,22346.3263397348,0.0,0.0,22346.3263397348,16489.589853304533
2025-06-22,True,3134.8614104814815,2548.7666751481497,84646.67748599999,53855.238146827505,0.0,0.0,53855.238146827505,14450.489314279834
2025-06-23,True,2548.7666751481497,2223.9166050000013,84234.315937,53171.8972693744,0.0,0.0,53171.8972693744,13887.76390397943
2025-06-24,True,2223.9166050000013,2105.689387888892,82029.632116,51392.9953759467,693.3686087666656,3285.161099215061,54678.15647516176,2251.66480901235
2025-06-25,True,2105.689387888892,2416.1890821111124,82715.837561,51948.3434999389,0.0,0.0,51948.3434999389,8037.712457950627
2025-06-26,True,2416.1890821111124,2157.9496460740743,83911.42593900001,52987.476524505895,36.72847899999999,247.90620546783327,53235.38272997373,12836.979837983541
