date,paid_curtail_kwh,paid_curtail_cost,curtail_kwh,emergency_kwh
2025-04-20,3439.3395304115215,1990.7059852087693,6172.869532222224,0.0
2025-04-21,4525.111571152268,2744.7342283813605,9881.796071399187,0.0
2025-04-22,592.2731212345841,249.66318942110976,2706.918237901251,0.0
2025-04-23,2796.8026554979465,1767.2933962580119,5174.222788831279,0.0
2025-04-24,4924.44988093005,2861.680866383492,10651.67473093005,0.0
2025-04-25,515.8325033333334,448.86287751706664,22885.41015510288,0.0
2025-04-26,248.72855681893057,203.24325629125713,24683.10344924692,0.0
2025-04-27,2513.5705289876582,1062.6171102992507,5936.786028884778,0.0
2025-04-28,711.7426436625539,277.70916748857303,711.7426436625539,2450.5404852666647
2025-04-29,2081.798861810704,880.6789838903144,6741.493582386838,873.3418166999962
2025-04-30,2612.622494481489,1797.9119735627264,6086.861811148155,0.0
2025-05-01,1917.4842701440348,913.7964771810967,5791.815590102888,1928.2790721000001
2025-05-02,40.2944136666669,17.579719074300062,12565.77355222634,370.8385540999988
2025-05-03,298.5040763703708,267.97065904446947,17756.03802678189,346.43208333333155
2025-05-04,4078.651496625515,2316.4642975822917,7631.991179958848,703.1008153666654
2025-05-05,4150.566388724287,2395.152614363819,5072.123693930049,0.0
2025-05-06,2593.83994094239,1631.5256700947534,5120.164305345686,0.0
2025-05-07,1710.5594440740717,735.5577711607598,3868.156466131686,0.0
2025-05-08,3418.295730576137,2453.220971339477,5030.469141312761,35.999250000000075
2025-05-09,757.4577058333336,736.4252644018168,18938.046397039096,0.0
2025-05-10,656.6279584609042,653.7766564278484,15559.901384798352,0.0
2025-05-11,3212.888244526761,2132.770882204351,5794.3041551852,41.18071666666674
2025-05-12,6208.274621115232,3387.85247956986,9721.127904448564,0.0
2025-05-13,3110.8865552140014,1953.2609217368588,5619.314089041165,314.34949473333245
2025-05-14,3900.183596378605,2329.4612678599688,6686.054113045271,0.0
2025-05-15,4607.880902835394,2405.431126740414,7349.513116662553,0.0
2025-05-16,731.296292966667,676.1290865221704,23648.81820374856,0.0
2025-05-17,139.14664675580298,121.55234446295506,15965.750257990368,0.0
2025-05-18,3223.5369134156444,2421.7742258312373,5137.411163415644,5.236666666666679
2025-05-19,5939.297701728394,3474.745199636753,11532.530488930042,67.00333333333344
2025-05-20,1120.8924967901262,593.5335010424732,1948.984188353913,13.742978166666148
2025-05-21,2299.168615086423,964.9945691226509,6353.63793175309,0.0
2025-05-22,3081.8945682304675,1626.4035374491161,6426.6418788066,2.57000000000005
2025-05-23,487.0605926666666,468.51516321379995,19112.100068016465,0.0
2025-05-24,828.293872,805.0495022092666,22022.05181718519,0.0
2025-05-25,4612.323334032924,2527.558262738301,9016.58720399177,0.0
2025-05-26,1694.4684409465044,1056.0469840981145,1694.4684409465044,0.0
2025-05-27,2729.5249603950683,1797.7860046157589,5763.79098555803,42.215439999998694
2025-05-28,1714.3175794238673,1052.358520265615,3090.898139917695,0.0
2025-05-29,1484.2388322674965,798.8173060224206,2095.335420333344,17.817433333333497
2025-05-30,21.090616666666847,7.830945968333401,18905.855687078194,0.0
2025-05-31,695.7562794333335,671.8342865220567,17155.29654873375,0.0
2025-06-01,34.484333333333666,13.8127028666668,34.484333333333666,11359.418487166664
2025-06-02,1172.3868009465057,543.2323955817709,1172.3868009465057,4230.856030733334
2025-06-03,257.7695333333344,112.95255552066712,257.7695333333344,3092.0636788333295
2025-06-04,400.33068884774025,180.3486807876806,400.33068884774025,82.01029879999331
2025-06-05,838.2826520164621,333.4587041657124,1080.788244855972,74.79457500000024
2025-06-06,0.0,0.0,2260.1031714403357,3176.689563066665
2025-06-07,102.24110024279963,66.38180749460876,1633.5003839465007,138.0908811666647
2025-06-08,12883.374441349803,7219.515207980678,14275.774391349802,0.0
2025-06-09,6078.030736666674,3313.4683971233326,6746.949570000007,74.25811866666675
2025-06-10,4594.439738440334,2583.142784625506,4885.649421773666,28.73240166666676
2025-06-11,2198.145689053502,931.7046279388989,2198.145689053502,2657.98001586966
2025-06-12,6018.774344650215,3244.636666778856,6264.565394650215,0.0
2025-06-13,1612.4934840000005,1361.1807670476003,7106.253113300416,0.0
2025-06-14,1217.8340943333333,1113.9076755246333,8417.397923880659,0.0
2025-06-15,8075.907796320998,4971.568432466858,8098.367629654333,5.016469333333362
2025-06-16,6224.652596925929,3903.335180923376,6224.652596925929,24.762771000000043
2025-06-17,3983.817016283953,1876.0867986046392,3983.817016283953,543.6869271999985
2025-06-18,7265.323982135811,4164.014054695035,7352.736398802477,0.0
2025-06-19,8917.911066860092,5408.096525857021,10257.372350193424,105.46205533333364
2025-06-20,1389.1907189176968,1218.2747621110207,10447.912623773667,0.0
2025-06-21,1681.6367220000004,1521.871737984467,13052.222976485597,0.0
2025-06-22,9048.094756111115,5421.611782734241,9759.312856111113,0.0
2025-06-23,8310.63342001976,4413.509074081394,9195.324953353094,0.0
