date,alpha,rho,terminal,soc0_actual,soc24_actual,soc24_plan,soc_min_actual,soc_max_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,emergency_slots,n_simultaneous_plan,max_unserved_kwh,dispatch
2025-03-23,0.8,0.625,2400.0,3434.2345787777767,2582.6243074814815,2400.0,1200.0,10800.0,65546.13510629999,39797.93268050815,127.3012776666661,805.7962501326629,40603.72893064081,3947.596963621406,3,0,0.0,rho
2025-03-24,0.8,0.625,2400.0,2582.6243074814815,2822.8017218888895,2400.0,1541.2928224814807,10800.0,65786.113078,39951.149175820596,0.0,0.0,39951.149175820596,3690.7540707818935,0,0,0.0,rho
2025-03-25,0.8,0.625,2400.0,2822.8017218888895,2354.284807370371,2400.0,1200.0,10619.232332333333,61875.88953,37228.725055405,2408.044877099995,15916.854533105135,53145.57958851013,26.89028333333374,14,0,0.0,rho
2025-03-26,0.8,0.625,2400.0,2354.284807370371,2772.159674740742,2400.0,1299.1972518518523,10800.0,66516.667205,40061.33079428651,0.0,0.0,40061.33079428651,6687.339926666674,0,0,0.0,rho
2025-03-27,0.8,0.625,2400.0,2772.159674740742,2837.7707491111146,2400.0,1489.011823962965,10800.0,66000.441542,39902.388319645004,0.0,0.0,39902.388319645004,3173.522327761326,0,0,0.0,rho
2025-03-28,0.8,0.625,2400.0,2837.7707491111146,3298.6692648148137,2400.0,1787.4255259999984,10800.0,30345.279841,15659.884153220899,0.0,0.0,15659.884153220899,16316.2801435926,0,0,0.0,rho
2025-03-29,0.8,0.625,2400.0,3298.6692648148137,3212.8316616666707,2400.0,1654.9206740740783,10800.0,29720.323609,15340.6196364307,0.0,0.0,15340.6196364307,19598.33589804938,0,0,0.0,rho
2025-03-30,0.8,0.625,2400.0,3212.8316616666707,3097.633776222221,2400.0,1565.266889185184,10800.0,63119.1251,38188.092883344,0.0,0.0,38188.092883344,4029.7368866255347,0,0,0.0,rho
2025-03-31,0.8,0.625,2400.0,3097.633776222221,3015.7425469999985,2400.0,1427.8092099259243,10800.0,62568.730749,37780.7302963998,0.0,0.0,37780.7302963998,1956.999328724281,0,0,0.0,rho
2025-04-01,0.8,0.625,2400.0,3015.7425469999985,2459.8738404444443,2400.0,1200.0,10302.1616345926,59029.408811999994,35175.9280896708,3921.1632780666605,25449.493457943536,60625.421547614336,31.26085000000046,26,0,0.0,rho
