date,alpha,rho,terminal,soc0_actual,soc24_actual,soc24_plan,soc_min_actual,soc_max_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,emergency_slots,n_simultaneous_plan,max_unserved_kwh,dispatch
2025-04-17,0.8,0.0,2400.0,2677.2497670740777,3213.694378666666,2400.0,1488.1651740740729,10800.0,62394.578931000004,37324.1333783304,0.0,0.0,37324.1333783304,5069.753275238699,0,0,0.0,greedy
2025-04-18,0.8,0.0,2400.0,3213.694378666666,3742.694788111112,2400.0,1918.4812037037048,10800.0,28675.696513,14705.718885279899,0.0,0.0,14705.718885279899,19378.518491765433,0,0,0.0,greedy
2025-04-19,0.8,0.0,2400.0,3742.694788111112,3556.6197814814795,2400.0,1980.0063259259232,10800.0,27234.178133,13978.5691385977,0.0,0.0,13978.5691385977,18463.902467691354,0,0,0.0,greedy
2025-04-20,0.8,0.0,2400.0,3556.6197814814795,3302.9736816666673,2400.0,1710.09015925926,10800.0,60556.308639,36192.2659601356,0.0,0.0,36192.2659601356,5164.03113990535,0,0,0.0,greedy
2025-04-21,0.8,0.0,2400.0,3302.9736816666673,2820.975959185186,2400.0,1475.884103703704,10800.0,60412.75322300001,36002.5153359242,0.0,0.0,36002.5153359242,8885.92608810289,0,0,0.0,greedy
2025-04-22,0.8,0.0,2400.0,2820.975959185186,2662.376655370369,2400.0,1381.6232638148126,10800.0,57461.276537,34124.7573030564,0.0,0.0,34124.7573030564,1875.4838181316966,0,0,0.0,greedy
2025-04-23,0.8,0.0,2400.0,2662.376655370369,2892.134370851853,2400.0,1394.4418200000011,10800.0,59420.123325,35133.311641421606,0.0,0.0,35133.311641421606,4201.97880370782,0,0,0.0,greedy
2025-04-24,0.8,0.0,2400.0,2892.134370851853,3147.8828619629667,2400.0,1519.441962962965,10800.0,60673.731331999996,36122.892355801596,0.0,0.0,36122.892355801596,9698.885299695485,0,0,0.0,greedy
2025-04-25,0.8,0.0,2400.0,3147.8828619629667,3396.083834592594,2400.0,1889.0273111111117,10800.0,27329.113203,13723.5205521594,0.0,0.0,13723.5205521594,22735.74050563375,0,0,0.0,greedy
2025-04-26,0.8,0.0,2400.0,3396.083834592594,3215.2687046666697,2400.0,1732.4748796296326,10800.0,26572.234903,13361.8986296117,0.0,0.0,13361.8986296117,24587.192463740746,0,0,0.0,greedy
2025-04-27,0.8,0.0,2400.0,3215.2687046666697,2805.349732592598,2400.0,1243.9625624444495,10800.0,57041.384461,34011.723622752004,0.0,0.0,34011.723622752004,5157.28705374486,0,0,0.0,greedy
2025-04-28,0.8,0.0,2400.0,2805.349732592598,2785.645965000001,2400.0,1200.0,10800.0,57240.781184,34218.5642979204,3260.642446699999,22099.41458852969,56317.97888645009,711.6844237860189,7,0,0.0,greedy
2025-04-29,0.8,0.0,2400.0,2785.645965000001,2801.6176448888896,2400.0,1200.0,10800.0,55844.499228999994,33108.2038454855,1031.8683463999982,7127.785181153122,40235.98902663862,5972.409992880666,2,0,0.0,greedy
2025-04-30,0.8,0.0,2400.0,2801.6176448888896,2668.752322185187,2400.0,1224.0317725925936,10800.0,56636.658404999995,33613.229696592,0.0,0.0,33613.229696592,5117.335746086424,0,0,0.0,greedy
2025-05-01,0.8,0.0,2400.0,2668.752322185187,1823.7353366666675,2400.0,1200.0,10800.0,57640.826955000004,34488.001444932204,1425.4523,8991.7353652,43479.736810132206,4890.57037886832,10,0,0.0,greedy
2025-05-02,0.8,0.0,2400.0,1823.7353366666675,2510.40605862963,2400.0,1200.0,10800.0,29645.726772,15390.2685547535,433.6870630666646,2718.636186083053,18108.90474083655,12496.690335720165,4,0,0.0,greedy
2025-05-03,0.8,0.0,2400.0,2510.40605862963,2468.7538467777786,2400.0,1200.0,10800.0,28453.307732,14716.815929887802,351.90317333333155,1807.5565452516557,16524.37247513946,17652.721789572017,7,0,0.0,greedy
2025-05-04,0.8,0.0,2400.0,2468.7538467777786,2320.073619703704,2400.0,1200.0,10800.0,60980.7018,36637.494475203,604.4261334666652,3588.672227565922,40226.16670276892,6715.5897629218125,8,0,0.0,greedy
2025-05-05,0.8,0.0,2400.0,2320.073619703704,3314.0002337037035,2400.0,1630.1480629629623,10800.0,64091.520659999995,39009.293736326,0.0,0.0,39009.293736326,4136.636907037045,0,0,0.0,greedy
2025-05-06,0.8,0.0,2400.0,3314.0002337037035,2850.9010584444454,2400.0,1591.4397703703705,10800.0,60365.912555,37018.672711941,0.0,0.0,37018.672711941,4212.418724176958,0,0,0.0,greedy
2025-05-07,0.8,0.0,2400.0,2850.9010584444454,2710.672795111112,2400.0,1200.0,10800.0,61704.178216,37622.45349693041,43.66914439999675,304.63595133437735,37927.089448264785,3129.5269855144033,1,0,0.0,greedy
2025-05-08,0.8,0.0,2400.0,2710.672795111112,3284.692242522224,2400.0,1592.550068633334,10800.0,64282.50267077,39581.21778887425,35.999250000000075,243.2289326250005,39824.446721499255,4161.880543032924,1,0,0.0,greedy
2025-05-09,0.8,0.0,2400.0,3284.692242522224,4703.317820444446,2400.0,2352.2079444444453,10800.0,31217.366875,17315.5035893195,0.0,0.0,17315.5035893195,18855.24488232922,0,0,0.0,greedy
2025-05-10,0.8,0.0,2400.0,4703.317820444446,3771.349191333335,2400.0,2259.094366666667,10800.0,28749.906198800003,16082.701178212521,0.0,0.0,16082.701178212521,15442.14041283539,0,0,0.0,greedy
2025-05-11,0.8,0.0,2400.0,3771.349191333335,2973.9279410000017,2400.0,1402.9362884814823,10800.0,62944.6553233,38535.5944815755,41.18071666666674,277.36103945833383,38812.95552103383,4935.076824654328,2,0,0.0,greedy
2025-05-12,0.8,0.0,2400.0,2973.9279410000017,3448.5713072592616,2400.0,1677.7226012592612,10800.0,64368.466353300006,39154.20729174931,0.0,0.0,39154.20729174931,8810.401630460494,0,0,0.0,greedy
2025-05-13,0.8,0.0,2400.0,3448.5713072592616,2577.7835785555567,2400.0,1200.0,10800.0,60138.848417,36238.8977710428,314.3429247333314,1946.8472323773872,38185.74500342019,4775.669347411535,6,0,0.0,greedy
2025-05-14,0.8,0.0,2400.0,2577.7835785555567,2813.412504407407,2400.0,1524.3811592592588,10800.0,62415.686441,37820.0236744124,0.0,0.0,37820.0236744124,5759.218461987661,0,0,0.0,greedy
2025-05-15,0.8,0.0,2400.0,2813.412504407407,3384.2298933703723,2400.0,1840.5873074074084,10800.0,63401.673078,38438.8993444472,0.0,0.0,38438.8993444472,6402.472193267495,0,0,0.0,greedy
2025-05-16,0.8,0.0,2400.0,3384.2298933703723,3314.260077370369,2400.0,2035.5256037037025,10800.0,28367.702284,15353.8211884126,0.0,0.0,15353.8211884126,23533.0729484856,0,0,0.0,greedy
2025-05-17,0.8,0.0,2400.0,3314.260077370369,3166.580324703706,2400.0,1483.722029629632,10800.0,28271.938119000002,15171.5830040122,0.0,0.0,15171.5830040122,15847.505675366252,0,0,0.0,greedy
2025-05-18,0.8,0.0,2400.0,3166.580324703706,3278.973394100001,2400.0,1748.7761841370368,10800.0,61487.35102039,37507.792501686556,5.236666666666679,35.318698333333415,37543.11120001989,4231.176612238689,1,0,0.0,greedy
2025-05-19,0.8,0.0,2400.0,3278.973394100001,2966.098833629631,2400.0,1359.4013851851855,10800.0,61024.311656,37021.0038443104,67.00333333333344,451.90398166666745,37472.90782597707,10647.44265644033,1,0,0.0,greedy
2025-05-20,0.8,0.0,2400.0,2966.098833629631,2480.6339268888905,2400.0,1200.0,10800.0,58636.134907,35489.0149254648,16.885128466666515,117.79065618346561,35606.80558164827,1043.7769325514432,1,0,0.0,greedy
2025-05-21,0.8,0.0,2400.0,2480.6339268888905,2453.9726074444447,2400.0,1200.0,10800.0,60309.467252,36447.7954346918,114.66576903333737,668.5660253898952,37116.361460081695,5761.066733580254,4,0,0.0,greedy
2025-05-22,0.8,0.0,2400.0,2453.9726074444447,3475.393550370372,2400.0,1550.5864666666675,10800.0,60989.77510700001,36980.361447319796,2.57000000000005,17.333365000000338,36997.694812319794,5546.131172185182,1,0,0.0,greedy
2025-05-23,0.8,0.0,2400.0,3475.393550370372,3806.7733211481523,2400.0,1908.2149000000031,10800.0,28048.902059,15104.8255416606,0.0,0.0,15104.8255416606,19003.29300913992,0,0,0.0,greedy
2025-05-24,0.8,0.0,2400.0,3806.7733211481523,3627.7874237777773,2400.0,2133.1213803703704,10800.0,27677.041675,15011.9121377591,0.0,0.0,15011.9121377591,21974.148288534983,0,0,0.0,greedy
2025-05-25,0.8,0.0,2400.0,3627.7874237777773,3092.9374900000007,2400.0,1474.4725851851854,10800.0,59403.519920000006,36144.51668273,0.0,0.0,36144.51668273,8163.154335596714,0,0,0.0,greedy
2025-05-26,0.8,0.0,2400.0,3092.9374900000007,3137.1082427629663,2400.0,1476.577071651855,10800.0,59164.346460420005,36167.96713916654,0.0,0.0,36167.96713916654,1012.7004523045216,0,0,0.0,greedy
2025-05-27,0.8,0.0,2400.0,3137.1082427629663,2481.9315073333337,2400.0,1200.0,10800.0,56945.997549,34618.9944213166,42.203869999998574,293.87400514665677,34912.86842646326,4901.444097543221,2,0,0.0,greedy
2025-05-28,0.8,0.0,2400.0,2481.9315073333337,2789.8297016666675,2400.0,1241.4025165925925,10800.0,58474.653564,35250.3376302596,0.0,0.0,35250.3376302596,2265.061470008227,0,0,0.0,greedy
2025-05-29,0.8,0.0,2400.0,2789.8297016666675,3061.543116777777,2400.0,1349.2875195555544,10800.0,59565.878944,36065.144940500206,17.817433333333497,119.77769558333443,36184.92263608354,1253.1334018518555,1,0,0.0,greedy
2025-05-30,0.8,0.0,2400.0,3061.543116777777,3815.5942316666687,2400.0,2064.313740962966,10800.0,28496.197983,15354.224815986,0.0,0.0,15354.224815986,18843.718993744857,0,0,0.0,greedy
2025-05-31,0.8,0.0,2400.0,3815.5942316666687,3696.3947354814823,2400.0,1818.7407148148145,10800.0,27489.362311999997,14752.385582251402,0.0,0.0,14752.385582251402,17085.468009654327,0,0,0.0,greedy
2025-06-01,0.8,0.0,2400.0,3696.3947354814823,1459.1056640740744,2400.0,1200.0,9826.160613296297,60401.619257,36826.7735387928,11183.277919099997,71275.80679094969,108102.58032974249,16.355183333333343,31,0,0.0,greedy
