date,total_cost,plan_cost,emergency_cost,emergency_kwh,label
2025-04-08,37929.208856654644,35810.7458269279,0.0,0.0,LA_h48_q65
2025-04-09,42937.04052672615,37532.535877912,2788.702524761651,426.9290699999977,LA_h48_q65
2025-04-10,37142.3461998743,35476.2581436447,1156.7628978970954,190.92709803333247,LA_h48_q65
2025-04-11,11209.113504590201,10735.2717700426,0.0,0.0,LA_h48_q65
2025-04-12,10795.495203295048,10981.8020738064,20.353892357747092,5.460467433332553,LA_h48_q65
2025-04-13,37385.89606387084,35371.6690999539,656.8014607512102,117.05064353333478,LA_h48_q65
2025-04-14,36300.09237140286,36096.122055666,1487.9680050569818,228.65432271332799,LA_h48_q65
2025-04-15,35628.722113402575,30991.2750327781,12.188499219577299,2.275630166663177,LA_h48_q65
2025-04-16,39501.843976090175,34362.4249291638,1621.063089054519,243.85931063333362,LA_h48_q65
2025-04-17,35854.316707465485,31523.8677983506,1396.4566007303852,213.72154893333106,LA_h48_q65
2025-04-18,11432.405981789549,10493.9539470438,923.6549706448493,236.99015923333312,LA_h48_q65
2025-04-19,11381.660878554047,10713.144386570712,0.0,0.0,LA_h48_q65
2025-04-20,36348.1639540156,33646.6681262818,0.0,0.0,LA_h48_q65
2025-04-21,33262.77228032187,32555.0955423611,1313.4497071104715,208.94691373333407,LA_h48_q65
2025-04-22,36995.9222579295,31050.347972894102,0.0,0.0,LA_h48_q65
2025-04-23,34985.626992151134,29188.348220429496,671.0484698153905,96.33196523333197,LA_h48_q65
2025-04-24,33329.33022807894,29980.2723378952,2068.833219890995,308.68402949999916,LA_h48_q65
2025-04-25,11648.78544511107,10637.6722872512,1248.724584274561,296.39795496666534,LA_h48_q65
2025-04-26,10898.346240044559,10505.7050841889,227.68016524585954,54.25477546666497,LA_h48_q65
2025-04-27,34341.50418460619,30321.1779569717,1145.2389698256354,174.56580593333365,LA_h48_q65
2025-04-28,38867.14999755323,35638.278840109546,336.33345778900673,64.95971489999852,LA_h48_q65
2025-04-29,34323.869093799694,29438.9538860816,395.5219277895946,59.76457053333252,LA_h48_q65
2025-04-30,32774.50477998062,28851.8131233554,1488.1005015037158,252.33505683332805,LA_h48_q65
2025-05-01,45333.35309434206,29942.15818971337,11619.065529771255,1921.8793655000006,LA_h48_q65
2025-05-02,14716.195429514082,12478.1185285528,2259.8500142548246,454.08592133333167,LA_h48_q65
2025-05-03,17177.54738972822,12533.8498037551,4491.293475303808,975.2729904333314,LA_h48_q65
2025-05-04,40618.86569098703,33940.8270429024,6085.686096489302,997.4018787100053,LA_h48_q65
2025-05-05,39167.31279162877,36947.0996880872,2282.990799251574,351.6422875333294,LA_h48_q65
2025-05-06,38732.2131967262,32070.8320628282,0.0,0.0,LA_h48_q65
2025-05-07,40710.714347738634,35649.856475051,979.3929185526337,150.0829528666666,LA_h48_q65
2025-05-08,37074.388840513,36556.775961657,0.0,0.0,LA_h48_q65
2025-05-09,13000.599820580699,13046.4304443613,0.0,0.0,LA_h48_q65
2025-05-10,12151.380499000257,12008.553569077405,0.0,0.0,LA_h48_q65
2025-05-11,41531.72780832705,36129.152582502,2659.01889021645,387.95558679999755,LA_h48_q65
2025-05-12,38401.914628813945,32740.7986323042,0.0,0.0,LA_h48_q65
2025-05-13,38854.02245091335,34101.092213013595,2133.6928347860526,334.7512671999978,LA_h48_q65
2025-05-14,36743.11197843555,34743.441268753,0.0,0.0,LA_h48_q65
2025-05-15,36091.8440606636,34617.5902101006,0.0,0.0,LA_h48_q65
2025-05-16,11322.8920912707,11415.9128329839,0.0,0.0,LA_h48_q65
2025-05-17,12206.871355394946,11358.380720206269,227.37617490956282,44.693105633329296,LA_h48_q65
2025-05-18,37884.8295625847,37605.216968023604,34.42846500000008,5.236666666666679,LA_h48_q65
2025-05-19,36112.92204990359,32816.2452701737,2320.1373515866853,354.5896838333336,LA_h48_q65
2025-05-20,38430.25353969254,31559.386861189603,1416.2569967883344,211.82425916666682,LA_h48_q65
2025-05-21,37868.19042315935,32332.6125317425,369.9999792025026,76.82360900000049,LA_h48_q65
2025-05-22,34097.271008352,32918.4300641559,53.08662038497326,8.077835533334337,LA_h48_q65
2025-05-23,11978.5644536082,10966.0297236984,0.0,0.0,LA_h48_q65
2025-05-24,11774.240658329356,11790.36613901264,0.0,0.0,LA_h48_q65
2025-05-25,34858.98697441807,33488.3331630846,159.05838875412354,31.37988959999818,LA_h48_q65
